AVzAZOUlmhia5XS5OxXx	I ' m at Yuri Restaurante in Sao Paulo , São Paulo https://t.co/4SegFrx4IU 	 Nao
AVzAYRR2mhia5XS5Ns8L	@Rubensjornalist Sim ... Sorteio ! Mas quem não iria preferir Asa / Joinville ao invés de Inter , Corinthians , São Paulo e Flu ?! 	 Sim
AVzAYuC1mhia5XS5ONrV	Gostei de enfrentar o São Paulo hein 	 Sim
AVzAaa-Omhia5XS5QIuK	To pensando se vou pra são Paulo 😏 	 Nao
AVzAY6A4mhia5XS5OcGh	@ZNC_Oficial São Paulo SP #zenetoecristianonodomingoshow 	 Nao
AVzAZtfqmhia5XS5PU7V	SP 270 Raposo Tavares : Tráfego lento do km 27 ao 19 e do km 15 ao 10 sentido São Paulo e intenso sentido Cotia . Tempo bom . 	 Nao
AVzAZcrlmhia5XS5PAw4	Real Time - São Paulo às 17h28 : Globo 21.7 , Record 11.5 , SBT 9.2 , Band 3.3 , RedeTV 0.7 Veja mais em : https://t.co/MmgpamjukU 	 Nao
AVzAZfE3mhia5XS5PD-F	https://t.co/EqUUHZFYwi #Pamplona Rogerinho e André Sá encaram Demoliner na final das duplas em São Paulo https://t.co/z0D3cdSA5R 	 Nao
AVzAaKDpmhia5XS5P1_R	meu são paulo ganhooooo 	 Sim
AVzAYxW0mhia5XS5OR97	São Paulo possui o maior risco na entrega dos Correios no Brasil https://t.co/UBBgZGhoNs 	 Nao
AVzAYMX6mhia5XS5Nmee	Acompanhante Ebony Shakira , São Paulo , Negra ébano cheia de malícias . Venha e .. https://t.co/ekFDamLm8V https://t.co/FtcPujUjbe 	 Nao
AVzAZNzpmhia5XS5Ow9l	I ' m at Hotel Boulevard São Luis - @blvdsaoluis in São Paulo , SP https://t.co/Xh7Lb7Kb7s 	 Nao
AVzAYzyjmhia5XS5OVIr	São Paulo completa uma semana de apagão e pouco futebol https://t.co/pjaY7w2yrx #Tricolor https://t.co/LDw1YjdiJt 	 Sim
AVzAY4SBmhia5XS5OZ7O	I ' m at Padaria Brasilia in Guarulhos , Sao Paulo w / @jeniffer_frade @camivalgas @apvilela85 https://t.co/WIkfZTkALk 	 Nao
AVzAaZxDmhia5XS5QHPL	Vagas p / Assistente de Serviços de Ultrassom - Santa Joana - São Paulo / SP - https://t.co/NDuxerIhok 	 Nao
AVzAZXgGmhia5XS5O7mA	I ' m at Chianca ' s Place in São Paulo https://t.co/kddqUmrkND 	 Nao
AVzAaQSWmhia5XS5P8es	Casper Ruud got SE for Sao Paulo ... plays Akira Santillan in R1 . 	 Nao
AVzAYF7bmhia5XS5Nfq6	TEM SÃO PAULO HOJE ❤ ❤ ❤ 	 Sim
AVzAZK23mhia5XS5Ot5O	BOM DIA NAÇÃO TRICOLOR !! Domingo é dia de Majestoso . Vamos lotar o Morumbi e apoiar o São Paulo rumo a mais uma ... https://t.co/5xEhCZZcZz 	 Sim
AVzAYm29mhia5XS5OFea	UAU !!!! O atual comandante do CHOQUE será o FUTURO COMANDANTE GERAL DA POLICIA MILITAR do Estado de SÃO PAULO !!! https://t.co/Wr4KeseQUR 	 Nao
AVzAY4YTmhia5XS5OZ8v	Aprendiz administrativo Cidade : São Paulo Estado : SP Empresa : Als Store Número de vagas : 80 Atribuições do ... https://t.co/WCtk2bCmeV 	 Nao
AVzAYOXVmhia5XS5NpFR	São Paulo 3 x 1 ABC - MELHORES MOMENTOS - Copa do Brasil 08/03/2017 https://t.co/C5EBEM2Cve 	 Sim
AVzAZn5Umhia5XS5PNz2	@OnlyTPR ajuda a divulgar pfv , to vendendo 2 meias pra pista comum em são paulo ! 75 reais cada 	 Nao
AVzAaNyxmhia5XS5P5Te	Vagas p / [ SP ] Coordenador de Marketing ( Digital ) - i - Cherry - São Paulo / SP - https://t.co/teGlA8pAVX 	 Nao
AVzAYoSEmhia5XS5OHWI	Há muito amor em São Paulo #amosampa #ferias #commeuamor https://t.co/XRE79ZlzAp 	 Nao
AVzAZDG2mhia5XS5Oliz	😴 #conexao ( @ Aeroporto de São Paulo / Congonhas in São Paulo , SP ) https://t.co/lIdLlDWdTp 	 Nao
AVzAZ_dfmhia5XS5Pp0A	Olha só quem estava aqui por São Paulo neste mesmo dia no ano passado , fazendo um tremendo show : ♫ Satisfaction !... https://t.co/xf0w2D3frn 	 Nao
AVzAaUkomhia5XS5QB0c	Casa Levi ’ s ® seleciona bandas independentes de São Paulo e Rio de Janeiro para gravarem … https://t.co/nY4YSQsuBe https://t.co/QMK0Adnztf 	 Nao
AVzAZhw0mhia5XS5PHg9	CLÁSSICOS no domingo : Santos e Palmeiras , 19 de março , às 18h30 , na Vila.São Paulo e Corinthians , dia 26 de março , às 16h , no Morumbi . #JOVEMPAN 	 Sim
AVzAaQ2emhia5XS5P9L5	I ' m at Banco Bradesco in SÃO PAULO , SP https://t.co/DlS2OjIJAI 	 Nao
AVzAaSLSmhia5XS5P-6v	Sim , sou São Paulo até no carnaval ! 🤷 🏻 ‍ ♀ ️ 	 Sim
AVzAZBJkmhia5XS5OjJV	Melhores Momentos – Gols de São Paulo 1 × 1 Ituano – Campeonato Paulista ( 18 / 03 / 17 ) https://t.co/wBL4o0P3PM https://t.co/wUIunYvew2 	 Sim
AVzAYFDMmhia5XS5NemI	Palmeiras x São Paulo : prováveis times , desfalques , onde ver e palpites https://t.co/jSiILpq5lM https://t.co/0kj52zPcjX 	 Sim
AVzAZvp6mhia5XS5PWc5	I ' m at Mambo in São Paulo , SP https://t.co/5Yv8X887Hz 	 Nao
AVzAY_73mhia5XS5Ohqf	[ Tudo Rádio - Rádio News ] Feliz FM estreia hoje em 92.9 FM na Grande São Paulo https://t.co/smWaUamWD5 	 Nao
AVzAZRHXmhia5XS5O1F1	I ' m at Onde come 3 come 2 ! in Santo André , São Paulo w / @andninhu_ https://t.co/mLnO2yZONq 	 Nao
AVzAZyzjmhia5XS5PamI	Acompanhante Lorena Paiva @lorenagppaiva . São Paulo . sofisticada , alta , siliconada e .. https://t.co/VICO1oF0a7 https://t.co/biuwcLOLBh 	 Nao
AVzAYqIHmhia5XS5OJlD	@Estadao @Haddad_Fernando Some Haddad ! Péssimo prefeito ! Agora , deixa São Paulo trabalhar e avançar ! #ForaPT e sua CORJA ! 	 Nao
AVzAYVcNmhia5XS5NxHT	Médico mostra otimismo e espera que São Paulo tenha Cueva em clássico https://t.co/ZlM0be8ckG https://t.co/vZj484FCgR 	 Sim
AVzAZX9Mmhia5XS5O8MZ	Palmeiras e São Paulo ... 🐷 Sem Mundial X 💄 👠 👜 Campeão Mundial 😂 😉 	 Sim
AVzAZ8TImhia5XS5Plim	Fresno , Scalene e Dona Cislene juntos em São Paulo no mês de março , saiba mais no link - https://t.co/62gnk8zamC 	 Nao
AVzAY4eRmhia5XS5OaIR	I ' m at B9 | Brainstorm9 - @brains9 in São Paulo w / @yarthox https://t.co/ZdcnSeOwHF 	 Nao
AVzAZTpimhia5XS5O280	I ' m at Universidade @Metodista de São Paulo in São Bernardo do Campo , SP / Brasil w / @raulferres https://t.co/qczoV7CuyI 	 Nao
AVzAYV2xmhia5XS5NxpH	#arborismo #likeforlike @ Socorro , Sao Paulo https://t.co/VOTqgKlzQl 	 Nao
AVzAaQBImhia5XS5P8Gx	14 restaurantes em São Paulo imperdíveis para quem ama comida mexicana : Com seus sabores … https://t.co/uTfETN3PIs 	 Nao
AVzAaDx-mhia5XS5Ptrw	Do cenário de gravação dos vídeos para a avenida de São Paulo SOMOS TODOS NENÊ 	 Nao
AVzAaMfZmhia5XS5P37G	@o_antagonista @veravaia2 Saudades do tempo em que O Antagonista não era um canal de fofocas ! Agora faz coro com Folha de São Paulo , Contigo 	 Nao
AVzAaRNWmhia5XS5P9u4	Torcida do São Paulo malhando o Neilton hahaha Mano , Neilton é jogador que precisa de tempo , mas lá os caras queimam rápido o jogador . 	 Sim
AVzAZW3omhia5XS5O6t8	CHEVROLET MERIVA JOY 1.8 MPFI 8V FLEXPOWER PRATA 2007 ( Sao Paulo - SP ) R $ 19.900 , 00 https://t.co/hxNcUNcu0x https://t.co/7M3M1agzeL 	 Nao
AVzAYvHrmhia5XS5OO_K	É aquele ditado : " viver e não a ter vergonha de ser feliz " @ São Paulo , Brazil https://t.co/nIe9VURVvP 	 Nao
AVzAaX5zmhia5XS5QE0B	A dupla de atores aproveitou ainda para curtir o show da cantora IZA , em São Paulo . 	 Nao
AVzAY6TGmhia5XS5Ocd0	@g0ydoi timinho ? Não estamos falando do São Paulo nenê mas enfim aguarde e verás meu verdão lá em cima tá bom ? 🐷 💚 	 Sim
AVzAYelnmhia5XS5N79w	I ' m at Tollocos in São Paulo , SP https://t.co/nnBhxT7tBO 	 Nao
AVzAZGGrmhia5XS5Opbv	Carrasco do São Paulo , Borja vive indefinição antes de 1º clássico ... - https://t.co/IDGn1v6TM6 https://t.co/FQVItH9abh #Palmeiras 	 Sim
AVzAZ9Rymhia5XS5Pm7k	Aqui no Brasil Moro em São Paulo e gosto muito de realizar trilhas pelo Estado afora . Gostaria de tentar um final … https://t.co/HLfM7SxxZo 	 Nao
AVzAZimYmhia5XS5PIkX	Todos os times fora do Estado de São Paulo são pequenos , quem não concordar é cego . #PAS 	 Nao
AVzAaGRMmhia5XS5PxGo	Ace Frehley , ex - guitarrista do KISS , se apresenta em São Paulo neste domingo . Saiba mais . https://t.co/YcySfEyFkr 	 Nao
AVzAZ2Xymhia5XS5PfCG	Inclusão nas ruas de São Paulo : VibraMão , bloco de Carnaval para surdos ! 🎊 😁 🎉 https://t.co/ZMSMxN4mUI 	 Nao
AVzAYyIgmhia5XS5OS8g	#harrypotterbooks #harrypotter @ São Paulo , Brazil https://t.co/v1L9a8CUnx 	 Nao
AVzAYfEimhia5XS5N8hS	Good vibes ! 🍀 🌺 🍃 🍂 🎶 ❤ ️ ✨ #friendship #sp @ São Paulo , Brazil https://t.co/TEK7Ety7wa 	 Nao
AVzAaEgZmhia5XS5Puv9	Manejamos el bus de Dayro , lo saben hasta en São Paulo ( ! ) 	 Nao
AVzAYIkPmhia5XS5NjDN	Best team in São Paulo ? — Palmeiras https://t.co/sqD7fx6a5Q 	 Nao
AVzAZiO8mhia5XS5PIMC	Vagas p / Estágio Adm Vendas - Jabaquara - Cultura Inglesa - São Paulo / SP - https://t.co/vD7c5jhEty 	 Nao
AVzAZigbmhia5XS5PIgt	Instrutor Youtube - São Paulo , SP https://t.co/lbLNFbdBxh #emprego #oportunidade #vaga 	 Nao
AVzAYW3umhia5XS5Ny4u	Vagas p / Executivo de Vendas - Adecco - São Paulo / SP - https://t.co/Dm4SDXh7Hz 	 Nao
AVzAZ-lcmhia5XS5Pok9	São Paulo não cansa de passar vergonha ! 	 Sim
AVzAYqVsmhia5XS5OJ5W	Sabrina Manriqure é a nova Miss Teen Continente São Paulo . Foi eleita neste domingo na Capital Paulista .... https://t.co/oSKglmJSzp 	 Nao
AVzAYjiImhia5XS5OCR6	@realfabianopy e os quase trinta anos de tucanos em São Paulo ?? 	 Nao
AVzAZ_Bfmhia5XS5PpNo	Retweeted Esquerda brasileira ( @EsquerdaValente ) : MTST bloqueia avenida central de São Paulo contra retrocessos ... https://t.co/jFClbz629k 	 Nao
AVzAY5HImhia5XS5Oa0V	Chove e São Paulo para 	 Nao
AVzAYXUYmhia5XS5Nzjq	Gostei de um vídeo @YouTube de @lucasklister https://t.co/qdPhiBMQXC Luiz Araujo - Dribles , Gols , Assistências , São Paulo FC 2017 	 Sim
AVzAY7uLmhia5XS5OeSv	Gostei de um vídeo @YouTube de @damianigui https://t.co/flYV9cQIQP CARIOCA EM SÃO PAULO SOFRE BULLYING POR SER DO MÉIER | | Responde 	 Nao
AVzAYsgPmhia5XS5OMbW	vou esperar vocês em são paulo ❤ @gabiefernandes @thalitameneghim 	 Nao
AVzAaFftmhia5XS5PwDA	@vicmaharaj Sao Paulo 2004 ? 	 Nao
AVzAaXbRmhia5XS5QEMA	\ m / ( at @RockTogether Studio in São Paulo , Brazil ) https://t.co/FK1NSyLNs8 	 Nao
AVzAY18Zmhia5XS5OW4T	Campus São Paulo do Potengi do IFRN realiza primeira Exposição Tecnológica https://t.co/i5hsYtZ5QQ 	 Nao
AVzAaGtkmhia5XS5PxxR	" Fábrica de Casamentos " chegando aos 8 pontos para o SBT na Grande São Paulo , confira : https://t.co/DmXyWFgKrX 	 Nao
AVzAYfsomhia5XS5N9eq	I ' m at Hamburgueria São Paulo in São José , SC https://t.co/3YFAf5KZpY 	 Nao
AVzAZJBZmhia5XS5Oryv	@FoxSports_br Anota aí Palmeiras 3x1 São Paulo 	 Sim
AVzAZ2Dzmhia5XS5PerA	Sao Paulo Vacation Travel Guide | Expedia https://t.co/HIkdbyErxW via @YouTube 	 Nao
AVzAYd_Nmhia5XS5N7RD	I ' m at Padaria Porta Del Rei in São Paulo https://t.co/eTk74Pfxby 	 Nao
AVzAYx0fmhia5XS5OSho	“ Um desequilibrado que desrespeitou São Paulo ” – JORNALIVRE - https : / https://t.co/WhkTOvOJ44 	 Nao
AVzAZFNAmhia5XS5OoRi	I ' m at Saúde - @sp_prefeitura in São Paulo , SP https://t.co/fhR02naCa3 	 Nao
AVzAZrZUmhia5XS5PSbs	tem São Paulo e eu nem posso assistir , caralho memo 	 Sim
AVzAYZ-kmhia5XS5N3GU	meu primo vai fazer dois gols hj nesse são paulo fraco 	 Sim
AVzAaZ-Pmhia5XS5QHd-	I ' m at Mini Extra in São Paulo https://t.co/qbKowevrKS 	 Nao
AVzAZ8ZImhia5XS5Plqc	Só para mora em São Paulo 	 Nao
AVzAZ-Yemhia5XS5PoUn	I ' m at Campo Belo - @sp_prefeitura in São Paulo , SP https://t.co/H4nJIuSuCS 	 Nao
AVzAYUbvmhia5XS5NvvN	Gostei de um vídeo @YouTube de @supercombo https://t.co/Tdn7xeoh8S Jovem - Ao Vivo em São Paulo 	 Nao
AVzAZzB0mhia5XS5Pa3e	#foxgol São Paulo passa sofrendo aoenos 2 gols , isso é certo . 	 Sim
AVzAZ4g5mhia5XS5Pg9h	Minha mãe viajou novamente , minha irmã mudou pra São Paulo , meu pai nem me responde mais ... a cada dia que passa parece que eu tô mais só 	 Nao
AVzAY_PAmhia5XS5OhQB	Vagas p / Auxiliar Administrativo - TI - Anima Educação - São Paulo / SP - https://t.co/R5uoiADYG3 	 Nao
AVzAZQXTmhia5XS5O0LD	🍁 @ Osasco , Sao Paulo https://t.co/FlmmoWkHL8 	 Nao
AVzAZMv2mhia5XS5Ov-R	I ' m at Mansão Rodrigues in Campinas , São Paulo https://t.co/2PqLomOPos 	 Nao
AVzAYnIRmhia5XS5OFzc	O São Paulo não pode chamar a torcida pra encher o Morumbi com o Denis no gol isso é um desrespeito com a torcida tricolor 	 Sim
AVzAYjdKmhia5XS5OCOA	Gostei de um vídeo @YouTube https://t.co/KWeYBCMXKJ THE WINGS TOUR IN SÃO PAULO ( BRAZIL ) LIVE STREAM ( 20 / 03 ) READ THE DESCRIPTION 	 Nao
AVzAYW3umhia5XS5Ny4Q	New anamorphic Street Art by Boa Mistura 📍 São Paulo Brazil 🇧 🇷 #streetart #art #arte #3D https://t.co/cJCkEps24g 	 Nao
AVzAYpj_mhia5XS5OI5j	Cacau Colucci e Tânia Oliveira exibem ferimentos em desfile em São Paulo https://t.co/EFUFRtJPF9 	 Nao
AVzAZFuImhia5XS5Oo8m	e o São Paulo se livrou da tiriça do Audax 	 Sim
AVzAYT8Cmhia5XS5NvGj	🔴 Internacional x São Paulo - RS Ao Vivo Campeonato Gaúcho 2017 [ CanalJGOficial ] https://t.co/mDShmdOqHV 	 Sim
AVzAYgXjmhia5XS5N-Sz	@Miltonneves São Paulo é muito ruim de goleiro 	 Sim
AVzAYoq0mhia5XS5OHxR	I ' m at Kellogg Brasil in São Paulo , SP https://t.co/0mQxzD1KGw 	 Nao
AVzAabKImhia5XS5QI6I	Vagas p / Auxiliar Técnico de Farmácia - Vagas Temporária - Associação Comunitária Monte Azul - São Paulo / SP - https://t.co/oNi6s03mTL 	 Nao
AVzAYtZAmhia5XS5OMvQ	Quando as coincidências não param 😂 #tomodati @ São Paulo , Brazil https://t.co/u5T2gjNQAv 	 Nao
AVzAYL-Smhia5XS5NmBg	I liked a @YouTube video from @damianigui https://t.co/oX0mBsgysz CARIOCA EM SÃO PAULO SOFRE BULLYING POR SER DO MÉIER | | Responde 	 Nao
AVzAY2Unmhia5XS5OXah	São Paulo pode perder patrocínio por causa de Rogério Ceni https://t.co/2M2Oe2m5IJ via @yahooesportes 	 Sim
AVzAYUummhia5XS5NwLC	#CopaDoBrasilFOXSports Joga bolaaaaa . Sao paulo 	 Sim
AVzAaSdsmhia5XS5P_Q2	I ' m at Harley Davidson ABA in São Paulo , SP https://t.co/04bt04tgEA https://t.co/3HE4knXEU4 	 Nao
AVzAZtYamhia5XS5PU3s	Aos 37 anos , Reinaldo , ex - Flamengo e São Paulo , acerta com o Brasiliense https://t.co/7pzkcGqNVy https://t.co/hu4sExT6pr 	 Sim
AVzAYReBmhia5XS5NtNN	I ' m at Auto Posto Eden Ltda in Santo andré , São Paulo https://t.co/9bDeYIISQR 	 Nao
AVzAYZJ7mhia5XS5N2A9	La Bolsa de São Paulo cae tras la entrega de la lista de Odebrecht al Supremo … https://t.co/AGyRkiFch9 https://t.co/e9JNEp5a0M 	 Nao
AVzAYxvfmhia5XS5OSeW	Patriotas fecham rua em São Paulo e clamam por Intervenção Militar https://t.co/UGq3R62ArW via @YouTube 	 Nao
AVzAZwfBmhia5XS5PXgQ	O que está por trás de incêndios nas favelas de São Paulo ? https://t.co/oQ5YdZlRsJ 	 Nao
AVzAaZlAmhia5XS5QG9z	Maravilhas tristes de São Paulo @ Metro Tamanduateí https://t.co/AvfxKr9YGz 	 Nao
AVzAYK1Wmhia5XS5Nk1J	💙 🌱 @ Atibaia , Sao Paulo , Brazil https://t.co/cVvayhw6YV 	 Nao
AVzAZ4mCmhia5XS5PhFf	I ' m at Avenida Atlântica in São Paulo , SP https://t.co/NVDepg2q4q 	 Nao
AVzAaMGemhia5XS5P3iX	Alegria pós carnaval 😒 ( @ Polishop in São Paulo , SP w / @fantuti ) https://t.co/cOWFbQpjE5 	 Nao
AVzAYruPmhia5XS5OLsG	Just posted a photo @ São Paulo , Brazil https://t.co/o8IIkZngjV 	 Nao
AVzAZtYZmhia5XS5PUyf	São Paulo Cia de Dança sai em mais uma turnê internacional https://t.co/29N9IAfjSE 	 Nao
AVzAZEahmhia5XS5OnOM	I ' m at Jardim São Bento in São Paulo , SP https://t.co/lUhxNw5WE3 	 Nao
AVzAYPWrmhia5XS5NqXr	Why tho ( at @ShoppingLightSp in São Paulo , SP ) https://t.co/taLYU0nx7T 	 Nao
AVzAZAZvmhia5XS5OiSZ	BRF tem gerente preso em aeroporto de Guarulhos , em São Paulo . Confira aqui - Otávio Sá Leitão https://t.co/VgufQ53OKV 	 Nao
AVzAZMZ7mhia5XS5Ovlk	Caraio sao paulo 	 Sim
AVzAZeaxmhia5XS5PDEP	Será uma grande festa para glorificar o #ReiDosReis ! Dia 15 de junho tem #MarchaParaJesus2017 em São Paulo !... https://t.co/SdGWCoJNCj 	 Nao
AVzAY6Zemhia5XS5Ocgf	#CampeonatoPaulistaNoPlanetaBola 38 ' 1T São Paulo parece ter neutralizado as infiltrações rápidas do Ituano mas ... https://t.co/qRK4ftto0n 	 Sim
AVzAY5qMmhia5XS5ObjF	Urgente : Metrô de São Paulo em greve nesta quarta - feira e outras categorias prometem parar o Brasil https://t.co/58d727Iqkj 	 Nao
AVzAY7Jvmhia5XS5Odi7	GOOOLLL DO SÃO Paulo 3x1 #Paulistao 	 Sim
AVzAaQ7wmhia5XS5P9UL	VAMOS SÃO PAULO !! 🔴 ⚪ ⚫ 	 Sim
AVzAaBzDmhia5XS5Prs8	Muitos relatos de roubos de celular em São Paulo . Sei que não é novidade , mas não custa reforçar a dica : se ... https://t.co/ius4xckKMe 	 Nao
AVzAYiD1mhia5XS5OAWE	@jdoriajr Excelente ! Então Vossa Excelência terá o prazo de 46 meses para resolver os problemas da Zona Norte de São Paulo . 	 Nao
AVzAYFDMmhia5XS5NekQ	@andrizek Por isso que o são paulo queria adiar o jogo contra o corinthians ... 	 Sim
AVzAaQYemhia5XS5P8ks	Faz 3 anos que não vejo minha melhor amiga , ela tá vindo lá de São Paulo me ver e eu to como ? Triste , muito bomm ! 	 Nao
AVzAaDe0mhia5XS5PtU-	Gostei de um vídeo @YouTube de @tim_explica https://t.co/8DDCvbvOoS 7 Coisas que Eu Aprendi no Meu Primeiro Dia em São Paulo 	 Nao
AVzAaWgUmhia5XS5QDbC	SÃO PAULO RENOVA COM CUEVA ATÉ JUNHO DE 2021 👏 🏼 🔴 ⚪ ⚫ 🇾 🇪 🇾 🇪 https://t.co/K9j1eplk0v 	 Sim
AVzAZfQqmhia5XS5PENj	Escola para Ricos e filhos de famosos abre filial em São Paulo – R $ 8.000 , 00 de mensalidade https://t.co/RpPitSIMWD 	 Nao
AVzAYL-Smhia5XS5NmBO	Tem o Weverton do Atletico PR , e tem o Danilo Fernandes do Inter , contrata um goleiro que presta ai São Paulo ... 	 Sim
AVzAZ7eWmhia5XS5PkeN	I ' m at República Eclesiastica " Santo Mé " in Taquaritinga , São Paulo w / @leo_oliverio @ecaracini_br https://t.co/mSjJ86cQEq 	 Nao
AVzAZokZmhia5XS5POtp	Esse negocio de " Jogo da Paz " me lembra o Edmundo dando porrada no Sao Paulo x Palmeiras nos anos 90 . #Flamengo #Flaflu #tacaguanabara 	 Sim
AVzAYx0gmhia5XS5OSkT	Com dois gols de Pratto , São Paulo vence São Bento no Morumbi https://t.co/gNjH2yqXoB 	 Sim
AVzAaXPzmhia5XS5QD46	I ' m at Padaria Chic in São Paulo https://t.co/p1nzV0c3ox 	 Nao
AVzAZBPkmhia5XS5OjUO	Tratamento para dependentes químicos e alcoolistas em São Paulo !!! https://t.co/xskeYHklGI 	 Nao
AVzAaHHamhia5XS5PyNv	Correios Celular inicia atividades em São Paulo https://t.co/t5Q5j8Q1ie https://t.co/suXmqoZmWc 	 Nao
AVzAZyu4mhia5XS5PadS	08.03 - Luverdense vs Corinthians - Lucas do Rio Verde 15.03 - Corinthians vs Luverdense - São Paulo 	 Nao
AVzAZM-nmhia5XS5OwMm	I ' m at D ' Aqui Doces in Ilhabela , São Paulo https://t.co/aCdh7XLhiI 	 Nao
AVzAaRCEmhia5XS5P9g_	É carnavaaaaal ! 🎊 ✨ @ Santos , Sao Paulo , Brazil https://t.co/BJWJMa3fEA 	 Nao
AVzAaJ9imhia5XS5P14g	Com dois gols de Pratto , São Paulo sofre , mas vence o São Bento - https://t.co/srxpZ62zPR #SPFC #VamosSãoPaulo … https://t.co/Y0xiZ3saTs 	 Sim
AVzAY04Jmhia5XS5OWXG	Início de viagem São Paulo para Vespasiano MG parte 01 / 07 Saindo de São Paulo até Mairipora https://t.co/PtQn7xUqNt https://t.co/vGZwzyLkBg 	 Nao
AVzAaY6xmhia5XS5QGKb	10 curiosidades sobre a homenagem a Nossa Senhora Aparecida no Carnaval de São Paulo https://t.co/U63o5DIkv6 	 Nao
